Date,Title,Description
2023-11-04 10:58:01,"I drove BMW's $68,000 Tesla rival. Here are 4 pros and 2 cons before you buy.","The i4 isn't as futuristic or flashy as some electric rivals, but it's incredibly fun to drive."
2023-11-15 16:15:02,A Rivian appeared to best a Tesla Cybertruck on an off-roading course,Elon Musk has promoted the Cybertruck as tougher than most trucks. Early testing has some people doubting that.
2023-12-01 10:18:49,"Tesla Cybertruck price: How much is EV pick-up, when will it arrive?","Elon Musk handed over the first of Tesla’s much-hyped Cybertrucks at a glitzy delivery event in Texas yesterday and we […]
The post Tesla Cybertruck price: How much is EV pick-up, when will it arrive? appeared first on ReadWrite."
2023-11-25 13:00:00,Millions of EV Batteries Could Retire to Solar Farms,A Southern California company is showing how repurposing EV batteries for solar storage can extend their usefulness for several years.
2023-11-06 16:23:29,Volvo EX30 Review: Fun but Flawed,"The Swedish brand's new entry-level electric car drives well and looks like a full-fat Volvo, but has it done enough to lure drivers looking for Scandi chic?"
2023-11-06 13:15:51,China boldly claims it has a plan to mass produce humanoid robots that can 'reshape the world' within two years,"China's Ministry of Industry and Information Technology published a blueprint of its plans to produce the robots, which it thinks will be as ""disruptive"" as smartphones."
2023-12-01 13:25:35,Tesla Cybertruck First Full Review,"“The future ain’t gonna invent itself"" Yes it is a “post-apocalyptic bulletproof stainless steel squared off cockroach with sharp edges that will slice your finger open anytime you go near it,“ as …"
2023-11-30 11:06:58,Tesla to finally deliver Cybertrucks as Musk plays down expectations,
2023-11-10 16:31:09,"Short-seller Jim Chanos talks bitcoin, Tesla, AI, and the 'dark side of finance' in new interview. Here are the 4 best quotes.","""You have to understand that the crypto ecosystem is well-suited for the dark side of finance,"" he told the Institute for New Economic Thinking."
2023-11-08 18:10:44,ExxonMobil passed Tesla as the most shorted stock last month. Here are the 10 names investors are betting against the most.,"After four straight months as the most-shorted stock, Elon Musk's EV maker moved into second place behind oil giant Exxon, while Apple came in third."
2023-12-03 16:58:55,Tesla: Security Vulnerabilities,Security vulnerabilities related to Tesla : List of vulnerabilities affecting any product of this vendor
2023-11-16 23:43:39,Watch a Tesla burn as it sinks into the ocean (video),"A couple in Hollywood, Florida were excited to play with their jet ski last month but it didn't quite go as planned. According to reports, the woman backed Tesla down the boat ramp so the man could unload it but then the Tesla warned the driver to exit the ve…"
2023-11-12 11:01:15,The UAW won big in the auto strike — but what does it mean for the rest of us?,"Here's what the UAW's lucrative contract might mean for workers, companies and car buyers."
2023-11-28 11:59:29,"Another sign that the future of EV buying is leasing: Rivian leases its $73,000 truck","The EV startup has made its R1T truck available to lease in 14 US states, as it experiments with new methods to attract customers."
2023-11-16 15:40:03,"Elon Musk may see Mark Zuckerberg as a rival, but the Meta chief never used to have any interest in the X owner, author says","Mark Zuckerberg doesn't know what to make of Elon Musk, an author who has profiled both tech bosses told Business Insider."
2023-11-14 16:24:34,"DeLorean designer, known for making the first stainless steel vehicle, says the Cybertruck will 'surely be successful'","DeLorean designer Giorgetto Giugiaro said he wouldn't judge whether the Cybertruck was ""beautiful or ugly."""
2023-11-20 04:55:00,Elon Musk Slams Accusations of Antisemitism as ‘Bogus’,Backlash erupted last week after the billionaire Tesla Inc. chief and X-owner agreed with a post that said Jewish people hold a “dialectical hatred” of white people.
2023-11-04 12:46:00,Behold this wooden version of the Tesla Cybertruck,"Here are some more folks trying desperately to get the attention of Elon Musk. In order to reach Musk, Vietnam-based ND-Woodworking Art created a wooden version of the notoriously hideously ugly Tesla Cybertruck. ND-Woodworking's Cybertruck, which has a metal…"
2023-11-27 03:30:22,"Elon Musk to Meet Israeli President, Families of Hamas’ Hostages as Antisemitism Furor Brews",The Tesla Inc. and SpaceX chief executive is slated to join a closed-door discussion Monday about the need to curb online antisemitism.
2023-11-16 21:38:57,Facebook cofounder calls on Elon Musk to resign after Tesla CEO calls antisemitic tweet 'the actual truth',"Elon Musk said a post that accused Jewish groups of ""hatred against whites"" the ""actual truth."""
2023-12-03 11:58:01,Some Tesla Cybertruck reservation-holders were underwhelmed by Elon Musk's big launch party – but many say they'll still buy one,"Some owners were left underwhelmed by Elon Musk's big delivery event, but others say they'll still be Tesla's Cybertruck."
2023-11-07 01:37:39,Tesla drivers can now disable remote access in privacy win,Tesla drivers can now control whether the company can send remote commands to their cars. A Tesla driver noticed the new feature last week.
2023-11-04 21:00:15,Tesla Model Y vs. Nissan Ariya: Can Tesla take out Nissan’s electric crossover?,The Ariya is a big release from Nissan -- but how does it compare with the much-loved Tesla Model Y? We put the two head-to-head to find out.
2023-11-17 00:44:33,"The Tesla Semi from an Insider's View After One Year: ""Hot Mess""","PepsiCo employee says the Tesla Semi is a ""disaster"" & does 400 miles ""at best"" with round-the-clock servicing by Tesla engineers"
2023-11-24 02:49:21,"New homeowners are fleeing their pandemic-era digs to be closer to the office, report says",Some people who purchased homes in remote locations and away from city centers in the midst of the pandemic are now looking to sell as they return to the office more frequently.
2023-11-14 17:30:06,Mattel deeply discounts their toy Cybertruck as Tesla struggles to deliver the real one,"You can build it, and Mattel can sell one to you for 40% off, but Elon ""Pedo Guy"" Musk is still working the kinks out of his Cybertruck!



Mattel Creations offers their MEGA Tesla Cybertruck with shattered shatterproof windows for a mere $150. — Read the rest"
2023-11-17 16:11:06,X employees are reportedly fielding calls from advertisers asking about Elon Musk's endorsement of antisemitic post,X employees are apparently having to pick up the pieces as advertisers call them to ask about Elon Musk's endorsement of an antisemitic post.
2023-11-30 21:26:16,Tesla delivers about a dozen stainless steel Cybertruck pickups as it tries to fix production woes,
2023-11-10 12:48:32,How to Make a Tesla Turbine,How to Make a Tesla Turbine (Greenest Turbine):            If you like this instructable please vote for it in the Epilog Challenge coming up. I have spent alot of time and effort trying to make this easy to understand and easy for anyone out there to do. I h…
2023-11-30 20:44:00,"Tesla Says Cybertruck Can Do 0-60 MPH in 2.6 Seconds, Quarter-Mile in Under 11",
2023-11-30 22:14:35,Tesla Cybertruck delivery event: everything Elon revealed about the EV pickup,
2023-11-04 02:01:18,Elon Musk’s xAI launches ‘the best’ AI tomorrow,"Elon Musk’s artificial intelligence startup xAI is preparing to unveil its first AI model on Saturday, November 4th, the tech […]
The post Elon Musk’s xAI launches ‘the best’ AI tomorrow appeared first on ReadWrite."
2023-11-06 11:51:19,Investors are buzzing about a generational buying opportunity in stocks. Markets guru John Hussman just dashed their hopes.,"John Hussman rejected Richard Bernstein's idea of a ""once-in-a-generation"" chance to buy stocks, citing the S&P 500's returns over the past century."
